"Â ","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Crimes","","","","","","","","","",""
"Violent Crimes","163,957","155,313","160,629","151,634","151,425","166,588","174,701","178,553","176,866","173,205"
"Homicide","1,809","1,794","1,878","1,745","1,697","1,861","1,930","1,829","1,739","1,679"
"Rape (Forcible Rape prior to 2014)","8,325","7,678","7,828","7,459","9,397","12,793","13,695","14,724","15,500","14,720"
"Rape","7,408","6,792","6,935","6,665","8,562","11,827","12,785","13,799","14,526","13,791"
"Attempted Rape","917","886","893","794","835","966","910","925","974","929"
"Robbery","58,100","54,358","56,491","53,621","48,650","52,785","54,769","56,609","54,312","52,050"
"Weapon","","","","","","","","","",""
"Firearm","18,076","16,180","17,083","16,274","13,546","14,706","15,490","15,349","13,501","12,414"
"Knife or Cutting Instrument","5,051","4,817","4,920","4,641","4,553","5,028","5,207","5,277","5,031","4,719"
"Other Weapon","5,361","4,907","5,259","5,089","4,818","5,651","6,067","6,502","6,538","6,068"
"Strong-Arm","29,612","28,454","29,229","27,617","25,733","27,400","28,005","29,481","29,242","28,849"
"Location","","","","","","","","","",""
"Highway","28,360","26,302","26,246","24,463","22,052","22,872","22,953","22,494","21,231","19,782"
"Commercial","8,463","8,231","8,608","8,191","7,871","9,567","10,187","11,134","10,771","10,429"
"Gas Station","1,157","1,015","1,142","1,089","889","1,257","1,263","1,453","1,480","1,286"
"Convenience Store","2,476","2,210","2,547","2,264","2,385","2,845","3,062","3,453","3,369","3,188"
"Residence","5,250","4,941","5,190","4,794","4,370","4,283","4,730","4,504","4,343","4,275"
"Bank","1,029","916","845","784","696","662","669","596","568","443"
"Miscellaneous","11,365","10,743","11,913","12,036","10,387","11,299","11,905","12,975","12,550","12,647"
"Aggravated Assault","95,723","91,483","94,432","88,809","91,681","99,149","104,307","105,391","105,315","104,756"
"Weapon","","","","","","","","","",""
"Firearm","16,971","17,164","18,040","15,610","15,801","18,286","20,633","19,157","17,908","17,748"
"Knife or Cutting Instrument","15,182","14,873","15,128","14,504","14,859","17,100","17,157","17,123","16,936","16,413"
"Other Weapon","33,092","30,732","31,533","30,008","32,481","33,985","36,048","36,579","36,494","35,093"
"Hands  Fists  Feet","30,478","28,714","29,731","28,687","28,540","29,778","30,469","32,532","33,977","35,502"
"Property Crimes","981,523","974,666","1,048,764","1,018,333","946,682","1,023,828","1,001,380","986,769","940,998","915,197"
"Burglary","228,672","230,334","245,601","231,909","202,556","197,189","188,162","176,638","164,540","151,596"
"Means of Entry","","","","","","","","","",""
"Forcible Entry","143,186","144,761","153,439","145,363","124,169","126,654","123,642","119,074","111,649","104,958"
"No Force","85,486","85,573","92,162","86,546","78,387","70,535","64,520","57,564","52,891","46,638"
"Location / Time","","","","","","","","","",""
"Residence","149,112","151,184","160,815","147,240","125,136","120,297","108,783","95,942","85,693","72,710"
"Night","32,441","32,471","34,480","32,907","27,437","28,013","26,696","24,399","22,266","20,228"
"Day","73,984","75,836","79,974","72,242","58,052","54,561","47,537","40,216","35,334","29,479"
"Unknown","42,687","42,877","46,361","42,091","39,647","37,723","34,550","31,327","28,093","23,003"
"Non-Residence","79,560","79,150","84,786","84,669","77,420","76,892","79,379","80,696","78,847","78,886"
"Night","30,083","29,601","32,407","32,965","29,884","31,295","34,465","35,781","35,459","35,715"
"Day","25,884","26,015","27,849","27,529","24,182","20,999","20,504","20,366","20,360","20,888"
"Unknown","23,593","23,534","24,530","24,175","23,354","24,598","24,410","24,549","23,028","22,283"
"Motor Vehicle Theft","152,494","147,030","168,516","165,217","151,790","170,788","176,676","168,327","155,170","140,732"
"Automotive","117,653","113,534","132,230","128,370","120,088","136,119","138,391","123,726","110,141","98,110"
"Trucks and Buses","24,984","23,446","25,284","25,145","21,816","23,365","26,040","32,127","33,524","31,303"
"Other","9,857","10,050","11,002","11,702","9,886","11,304","12,245","12,474","11,505","11,319"
"Larceny-Theft","600,357","597,302","634,647","621,207","592,336","655,851","636,542","641,804","621,288","622,869"
"Type","","","","","","","","","",""
"Pocket-Picking","3,186","3,281","3,431","3,478","3,293","3,783","3,903","4,874","5,228","6,033"
"Purse-Snatching","3,181","2,857","2,851","2,863","2,706","2,790","2,472","2,599","2,312","2,444"
"Shoplifting","93,665","91,845","94,136","93,532","97,301","108,659","98,589","91,553","89,378","90,309"
"From Motor Vehicle","225,416","211,903","223,295","217,029","202,916","235,419","238,185","256,625","243,040","245,795"
"Motor Vehicle Accessories","49,609","46,924","49,277","46,320","48,029","53,541","51,656","51,897","51,872","55,209"
"Bicycles","26,445","30,093","35,159","34,747","33,095","36,554","31,739","28,996","27,336","24,494"
"From Building","75,313","76,803","80,634","77,017","80,294","77,023","72,225","69,892","69,324","66,657"
"Coin Operated Machine","1,634","1,414","1,450","1,599","1,230","1,307","1,468","1,406","1,037","1,055"
"Other","121,908","132,182","144,414","144,622","123,472","136,775","136,305","133,962","131,761","130,873"
"Value","","","","","","","","","",""
"Over $400","203,833","216,030","232,014","228,035","215,820","238,456","235,543","261,346","270,124","281,436"
"$200 through $400","96,180","91,666","95,880","90,476","85,033","91,947","86,853","86,436","84,523","82,438"
"$50 through $199","115,484","113,113","118,159","112,284","110,108","120,590","112,408","108,836","105,185","100,697"
"Under $50","184,860","176,493","188,594","190,412","181,375","204,858","201,738","185,186","161,456","158,298"
"Arson","7,864","7,164","7,519","7,446","7,135","7,380","7,766","8,650","8,523","8,266"
"Structural Property","2,546","2,327","2,654","2,528","2,459","2,450","2,805","3,175","2,825","2,877"
"Mobile Property","2,501","2,060","1,978","1,822","1,825","1,853","1,943","1,979","2,047","1,773"
"Other Property","2,817","2,777","2,887","3,096","2,851","3,077","3,018","3,496","3,651","3,616"